url,depth,keyword,tag,snippet
https://www.cfrfoundation.org/spider-crabs,1,Gulf of Mexico,p,t of North America and in the Gulf of Mexico. There is no current market f
https://www.cfrfoundation.org/ike-jime,1,diversity,p,their fishing operations and diversity in the methods they are able
https://www.cfrfoundation.org/jonah-crab-lobster-research-fleet,1,GOM,p,"Bank (GB), and Gulf of Maine (GOM) regions."
https://www.cfrfoundation.org/revolution-sunrise-trawl,1,diversity,p,Catch Data: Species diversity (number and biomass of each s
https://www.cfrfoundation.org/whelk-research-fleet,1,inclusion,p,ct fishery-dependent data for inclusion in each respective state’s as
https://www.cfrfoundation.org/staff,1,Gulf of Mexico,p,nd species composition in the Gulf of Mexico.
https://www.cfrfoundation.org/spider-crabs#header,2,Gulf of Mexico,p,t of North America and in the Gulf of Mexico. There is no current market f
https://www.cfrfoundation.org/s/FOF-overview-flyer.pdf,2,climate change,r,challenges fishermen face are climate change and plastic pollution. This i
https://www.cfrfoundation.org/s/FOF-overview-flyer.pdf,2,climate change,r,challenges fishermen face are climate change and plastic pollution. This i
https://www.cfrfoundation.org/s/FOF-overview-flyer.pdf,2,climate change,r,"in New England, likely due to climate change) /Pg 7 0 R /K [6] >> endobj 2"
https://www.cfrfoundation.org/ike-jime#header,2,diversity,p,their fishing operations and diversity in the methods they are able
https://www.cfrfoundation.org/jonah-crab-lobster-research-fleet#header,2,GOM,p,"Bank (GB), and Gulf of Maine (GOM) regions."
https://www.cfrfoundation.org/revolution-sunrise-trawl#header,2,diversity,p,Catch Data: Species diversity (number and biomass of each s
http://www.cfrfoundation.org/sfwf-beam-trawl-survey,2,diversity,p,Catch Data: Species diversity- number of individuals and bi
http://www.cfrfoundation.org/sfwf-gillnet-survey,2,diversity,p,per species and area; Species Diversity; and Length frequency distrib
http://www.cfrfoundation.org/sfwf-gillnet-survey,2,vulnerable,p,stribution of dominant and/or vulnerable species)
https://www.cfrfoundation.org/whelk-research-fleet#header,2,inclusion,p,ct fishery-dependent data for inclusion in each respective state’s as
https://www.cfrfoundation.org/economic-impact-of-fisheries-in-rhode-island,2,inclusive,p,"in the Rhode Island economy, inclusive of effects on commercial fish"
https://www.cfrfoundation.org/sfwf-beam-trawl-survey,2,diversity,p,Catch Data: Species diversity- number of individuals and bi
http://www.cfrfoundation.org/jonah-crab-lobster-research-fleet,2,GOM,p,"Bank (GB), and Gulf of Maine (GOM) regions."
http://www.cfrfoundation.org/spider-crabs,2,Gulf of Mexico,p,t of North America and in the Gulf of Mexico. There is no current market f
http://www.cfrfoundation.org/whelk-research-fleet,2,inclusion,p,ct fishery-dependent data for inclusion in each respective state’s as
https://www.cfrfoundation.org/staff#header,2,Gulf of Mexico,p,nd species composition in the Gulf of Mexico.
http://www.cfrfoundation.org/catalyzing-bay-scallop,2,vulnerable,p,allop larvae are particularly vulnerable and fragile compared to other
https://www.cfrfoundation.org/catalyzing-bay-scallop,2,vulnerable,p,allop larvae are particularly vulnerable and fragile compared to other
https://www.cfrfoundation.org/news?author=64c136a95ff9f95fc4abdfd3,2,diversity,p,"the larval squid samples, the diversity off the East coast was startl"
